U计划-A140924期,3000000,293,4263,531,52123
U计划-B140924期,8000000,239,8556,1434,355758
U计划-C140924期,28000000,536,35949,11194,2692285
U计划-A140926期,4000000,265,4590,803,69675
U计划-B140926期,8000000,207,7979,1100,364194
U计划-C140926期,12000000,216,17462,8228,1156001
U计划-A141008期,8000000,600,8647,1123,137070
U计划-B141008期,16000000,426,15606,1733,721924
U计划-C141008期,40000000,757,49256,15050,3731014
U计划-A141013期,5000000,339,4867,632,86533
U计划-B141013期,18000000,428,17181,1788,793700
U计划-C141013期,28000000,993,68311,16234,2818049
U计划-A141015期,4000000,316,3953,171,68510
U计划-B141015期,4000000,104,4482,728,182630
U计划-C141015期,5000000,68,4805,2659,455331
U计划-A141020期,4000000,304,4382,286,70262
U计划-B141020期,4000000,101,3830,745,180401
U计划-C141020期,5000000,92,5183,2275,458329
U计划-A141022期,5000000,314,4301,386,87794
U计划-B141022期,18000000,409,15439,1350,816806
U计划-C141022期,18000000,331,26870,11702,1595189
U计划-A141027期,2000000,155,2226,382,34540
U计划-B141027期,4000000,81,3453,951,182630
U计划-C141027期,4000000,70,8009,5198,372325
U计划-A141029期,8000000,483,6173,212,140282
U计划-B141029期,12000000,297,10618,935,538566
U计划-C141029期,16000000,281,17368,4708,1480115
U计划-A141103期,10000000,534,8380,1475,175141
U计划-B141103期,15000000,323,12337,1659,683553
U计划-C141103期,25000000,382,22035,7144,2268115
U计划-A141105期,10000000,560,8379,978,172741
U计划-B141105期,5000000,156,6537,1588,224129
U计划-C141105期,10000000,160,11225,5553,932244
U计划-A141110期,15000000,568,8636,1226,263510
U计划-B141110期,5000000,101,3560,616,225710
U计划-C141110期,20000000,681,39062,11041,1824514
U计划-A141112期,12000000,705,10125,801,209225
U计划-B141112期,8000000,204,7248,880,361797
U计划-C141112期,15000000,210,14774,6955,1348565
U计划-A141117期,8000000,509,6812,359,139985
U计划-B141117期,4000000,86,3683,803,181190
U计划-C141117期,8000000,123,7903,3782,530727
U计划-A141119期,6000000,402,5756,733,105358
U计划-B141119期,12000000,312,12332,1528,521955
U计划-C141119期,22000000,428,25570,7809,1801163
U计划-A141124期,2000000,140,2235,610,35170
U计划-B141124期,2000000,45,1909,731,91431
U计划-C141124期,6000000,115,8074,4296,515502
U计划-A141126期,4000000,248,3515,823,69913
